n,iterativo_time,recursivo_time,recursivo_cola_time
25,1.3429998944047838e-06,4.809990059584379e-07,7.231999916257337e-06
50,5.799996870337054e-06,6.110021786298603e-07,8.394999895244837e-06
75,1.31029992189724e-05,2.4139990273397416e-06,1.4485998690361157e-05
100,1.855300070019439e-05,3.0073999369051307e-05,1.8022001313511282e-05
125,2.2209998860489577e-05,0.00022995799736236222,2.657700315467082e-05
